"region","sprichness","breadth","elev_min","elev_max","sampling","sampling_mean","expanse","position_median","X.x","lat","long","bio4","bio3","bio12","bio15","bio1","X.y","cc_velocity","X","completeness_mean","completeness_median","area","rposition_median"
"alps",56,1521.42857142857,50,1950,115.5,204.446428571429,1900,1000,1,45.6343492776667,9.169453215,6247.15054046929,30.1738738266959,1135.78251122291,22.6572561567993,61.9298003893257,1,2.29577362381757,1,0.819416948375772,0.881516587677725,165352.512415706,0.5
"appalachians",79,1443.03797468354,50,2050,1899,4094.78481012658,2000,1050,2,35.2536811886667,-81.9636075656667,7325.29124180626,39.4619650526157,1324.73077611322,12.3938659994475,141.154965215863,2,27.5037529876609,2,0.920490508630135,0.928,111848.814334926,0.5
"atlantic_forest",326,1559.20245398773,50,2450,381.5,865.969325153374,2400,1000,3,-24.8351627329268,-46.9601888646341,2725.9911195172,55.9732938924076,1590.05182047727,33.2845875677858,180.870068957787,3,3.45400770119934,3,0.863593081879163,0.896109448482257,285816.978988955,0.395833333333333
"australian_alps",88,1309.09090909091,50,1850,488,881.829545454545,1800,800,4,-36.3581616161538,148.343177976154,4448.79213674778,47.1610426954257,1028.33702066072,21.0431114454855,118.49979916286,4,1.42721941491729,4,0.856483546334409,0.913183279742765,110174.45599019,0.416666666666667
"c_america",343,1528.86297376093,50,3450,842,1495.43440233236,3400,1100,6,9.812127684,-83.5948902409333,625.830679786925,78.0540112001235,3372.22929966566,40.3460576871686,225.610970895119,6,2.05632255681381,5,0.851858596559337,0.889759921607055,36385.1399736486,0.308823529411765
"c_tropical_andes",618,1114.07766990291,150,3950,132,245.831715210356,3800,1050,7,-1.35436304769231,-77.5063505279487,484.935779376107,85.7712480517385,2764.41530705419,17.4873768994912,234.387691276895,7,4.81695697889716,6,0.77252174340576,0.786757236839879,210016.830976167,0.236842105263158
"cascades",74,1482.43243243243,50,1950,890.5,1341.32432432432,1900,925,9,47.2680259686274,-121.733128893137,5703.21249808732,36.8000918087389,1858.46115031368,56.7254740782652,59.9062198641373,9,2.57744145274991,7,0.867047009633708,0.952668404445054,41005.6409310726,0.460526315789474
"choco",498,1475.30120481928,50,3950,228,637.877510040161,3900,1300,10,1.91378490179487,-77.9350943771795,279.783322733645,87.6579894241087,3676.2095645637,33.8017502262753,224.043530779956,10,2.84168060325318,8,0.771008082698459,0.819587330151203,72180.1984114771,0.320512820512821
"cuba",32,1053.125,50,1750,895.5,1070.53125,1700,525,12,21.4406397651064,-79.2199558006383,1886.29470714884,64.1055381742252,1320.79992557422,59.480769893392,250.731085169284,12,5.7119517480715,9,0.803202152861706,0.834845735027223,130888.263108105,0.279411764705882
"eastern_himalaya",316,2302.53164556962,50,3950,50.5,90.2120253164557,3900,1825,13,28.4994182415385,93.4308095723077,5110.09737630564,44.3471993193413,1518.30048675262,93.5094584272874,111.698477649235,13,1.21433632950335,10,0.737355556256392,0.773572265952102,175873.371371242,0.455128205128205
"hispaniola",43,1665.11627906977,50,2150,330,530.883720930233,2100,1100,14,18.8734675378947,-71.6314710821053,1239.6099579096,73.476771849102,1423.25261038927,46.4231418786437,240.407016810018,14,1.74712254207225,11,0.84762139711605,0.891566265060241,84806.4019356545,0.5
"honshu",38,1684.21052631579,50,2650,42,54.2368421052632,2600,1100,16,36.4386009386047,138.207898906279,8394.5949584578,26.9648755588764,1808.09848303138,39.5562362060427,106.09091975821,16,3.26315006898791,12,0.772813957730178,0.799441786283892,102191.18232208,0.403846153846154
"jamaica",39,1251.28205128205,50,1450,297,397.230769230769,1400,750,17,18.0815618155556,-77.3063727733333,991.051772021449,68.871163822466,1826.67525458071,47.5467677420482,240.515763916787,17,1.07391341432038,13,0.872232774435958,0.926829268292683,12050.8614744689,0.5
"luzon",101,982.178217821782,50,1750,96,171.613861386139,1700,700,18,15.0514910069231,121.404353823077,1195.87332028959,65.3036041004631,2512.33364629566,69.2000529601696,251.693977554254,18,2.55495033462117,14,0.652996505015502,0.733017377567141,98055.4858453893,0.382352941176471
